geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,200,30,75,mineral wool (lamella),0.0635,1700.0,132.7,92.2,43.3,"safe (prolonged contact, <=45C)"
flat,200,30,100,mineral wool (lamella),0.0635,1700.0,101.5,94.0,40.2,"safe (prolonged contact, <=45C)"
flat,200,30,125,mineral wool (lamella),0.0635,1700.0,82.2,95.2,38.2,"safe (prolonged contact, <=45C)"
flat,200,30,150,mineral wool (lamella),0.0635,1700.0,69.0,95.9,36.9,"safe (prolonged contact, <=45C)"
flat,250,0,0,none,,2500.0,2500.0,0.0,250,burn risk (>60C)
flat,250,0,25,mineral wool (lamella),0.0665,2500.0,525.3,79.0,52.5,caution (brief touch)
flat,250,0,50,mineral wool (lamella),0.0665,2500.0,293.5,88.3,29.3,"safe (prolonged contact, <=45C)"
flat,250,0,75,mineral wool (lamella),0.0665,2500.0,203.6,91.9,20.4,"safe (prolonged contact, <=45C)"
flat,250,0,100,mineral wool (lamella),0.0665,2500.0,155.9,93.8,15.6,"safe (prolonged contact, <=45C)"
flat,250,0,125,mineral wool (lamella),0.0665,2500.0,126.3,94.9,12.6,"safe (prolonged contact, <=45C)"
flat,250,0,150,mineral wool (lamella),0.0665,2500.0,106.1,95.8,10.6,"safe (prolonged contact, <=45C)"
flat,250,10,0,none,,2400.0,2400.0,0.0,250,burn risk (>60C)
flat,250,10,25,mineral wool (lamella),0.068,2400.0,513.2,78.6,61.3,burn risk (>60C)
flat,250,10,50,mineral wool (lamella),0.068,2400.0,287.3,88.0,38.7,"safe (prolonged contact, <=45C)"
flat,250,10,75,mineral wool (lamella),0.068,2400.0,199.5,91.7,30.0,"safe (prolonged contact, <=45C)"
flat,250,10,100,mineral wool (lamella),0.068,2400.0,152.8,93.6,25.3,"safe (prolonged contact, <=45C)"
flat,250,10,125,mineral wool (lamella),0.068,2400.0,123.8,94.8,22.4,"safe (prolonged contact, <=45C)"
flat,250,10,150,mineral wool (lamella),0.068,2400.0,104.1,95.7,20.4,"safe (prolonged contact, <=45C)"
flat,250,20,0,none,,2300.0,2300.0,0.0,250,burn risk (>60C)
flat,250,20,25,mineral wool (lamella),0.0695,2300.0,500.3,78.2,70.0,burn risk (>60C)
flat,250,20,50,mineral wool (lamella),0.0695,2300.0,280.7,87.8,48.1,"short-contact only (~1 s, bare metal)"
